Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Timor-Leste,TLS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4328.50782017194
Togo,TGO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2767.51655834427
Tonga,TON,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Trinidad and Tobago,TTO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31705.8333833611
Tunisia,TUN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12552.9866903456
Turkiye,TUR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,34251.5790048407
Turkmenistan,TKM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17866.4041809169
Turks and Caicos Islands,TCA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22305.6592653747
Tuvalu,TUV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5812.39328977512
Uganda,UGA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2791.05576885861
Ukraine,UKR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15885.2255859375
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,68577.5405661277
United Kingdom,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52588.9794302902
United States,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,74577.5065396723
Uruguay,URY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31019.3113912098
Uzbekistan,UZB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10007.6855026198
Vanuatu,VUT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3118.39603259733
"Venezuela, RB",VEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Viet Nam,VNM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13491.879417397
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
West Bank and Gaza,PSE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5313.09790291178
"Yemen, Rep.",YEM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Zambia,ZMB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3673.4841969922
Zimbabwe,ZWE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3442.25132658294
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3967.86093740163
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4814.6114433725
Arab World,ARB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16028.4157837409
Caribbean small states,CSS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,28493.0589311667
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42074.977645128
Early-demographic dividend,EAR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11609.7228832879
East Asia & Pacific,EAS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22673.424573973
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19154.2645712625
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19369.5506373878
Euro area,EMU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55973.9165291401
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,43918.0645721107
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23221.3095527675
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31240.0656476234
European Union,EUU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53783.061096099
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5043.40520597059
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3055.7581543954
High income,HIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,57259.7318788704
IBRD only,IBD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17495.9211620017
IDA & IBRD total,IBT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13927.5041711256
IDA blend,IDB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5732.93654378486
